date,cultivar,rep,n_stolon_primary,n_stolon_secondary,n_stolon_tertiary,n_stolon_quaternary,n_dp_alt_primary,n_dp_alt_secondary,n_dp_alt_tertiary,n_dp_alt_quaternary,n_dp_mid_primary,n_dp_mid_secondary,n_dp_mid_tertiary,n_dp_mid_quaternary,n_dp_total_alt,n_dp_total_mid,n_flowers_total,n_flowers_mp,n_flowers_dp,stolon_length_primary_cm,crown_diameter_mm
2025-04-16,Chandler,3,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,79.366666667,
2025-04-30,Chandler,1,6.0,6.0,0.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,125.175,
2025-04-30,Chandler,2,7.0,5.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,112.24,
2025-04-30,Chandler,3,7.0,7.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,106.44,
2025-05-14,Chandler,1,8.0,16.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,149.3428571,
2025-05-14,Chandler,2,9.0,13.0,1.0,0.0,20.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,0.0,161.7,
2025-05-14,Chandler,3,9.0,18.0,0.0,0.0,18.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,141.4875,
2025-05-28,Chandler,1,10.0,25.0,1.0,0.0,23.0,47.0,1.0,0.0,2.0,1.0,0.0,0.0,71.0,3.0,0.0,0.0,0.0,181.8375,
2025-05-28,Chandler,2,11.0,26.0,2.0,0.0,26.0,48.0,3.0,0.0,3.0,0.0,0.0,0.0,77.0,3.0,0.0,0.0,0.0,180.17777778,
2025-05-28,Chandler,3,11.0,28.0,1.0,0.0,25.0,52.0,1.0,0.0,3.0,1.0,0.0,0.0,78.0,4.0,0.0,0.0,0.0,164.755556,
2025-06-11,Chandler,1,12.0,32.0,6.0,0.0,31.0,79.0,3.0,0.0,7.0,4.0,0.0,0.0,113.0,11.0,0.0,0.0,0.0,188.5,
2025-06-11,Chandler,2,11.0,35.0,9.0,0.0,31.0,91.0,13.0,0.0,8.0,1.0,0.0,0.0,135.0,9.0,0.0,0.0,0.0,198.7818182,
2025-06-11,Chandler,3,12.0,39.0,12.0,0.0,33.0,90.0,13.0,0.0,8.0,5.0,0.0,0.0,136.0,13.0,0.0,0.0,0.0,195.7454545,
2025-06-25,Chandler,1,14.0,38.0,10.0,0.0,38.0,114.0,15.0,0.0,10.0,6.0,0.0,0.0,167.0,16.0,0.0,0.0,0.0,216.6181818,8.953284672
2025-06-25,Chandler,2,12.0,37.0,12.0,0.0,36.0,124.0,22.0,0.0,11.0,1.0,0.0,0.0,182.0,12.0,0.0,0.0,0.0,226.4181818,8.080671642
2025-06-25,Chandler,3,14.0,44.0,13.0,0.0,37.0,121.0,24.0,0.0,12.0,10.0,0.0,0.0,182.0,22.0,0.0,0.0,0.0,220.2818182,6.978216561
2025-04-16,Finn,1,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,56.2,
2025-04-16,Finn,2,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,0.0,59.433333,
2025-04-16,Finn,3,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,6.0,0.0,37.4,
2025-04-30,Finn,1,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,0.0,86.566667,
2025-04-30,Finn,2,4.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,3.0,0.0,106.4,
2025-04-30,Finn,3,4.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,71.733333,
2025-05-14,Finn,1,7.0,4.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,12.0,0.0,108.766667,
2025-05-14,Finn,2,6.0,6.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,134.6,
2025-05-14,Finn,3,7.0,1.0,1.0,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,7.0,0.0,109.86,
2025-05-28,Finn,1,8.0,7.0,0.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,3.0,3.0,0.0,153.55,
2025-05-28,Finn,2,7.0,12.0,1.0,0.0,15.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,167.025,
2025-05-28,Finn,3,9.0,5.0,2.0,0.0,18.0,6.0,3.0,0.0,0.0,2.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0,161.58,
2025-06-11,Finn,1,9.0,11.0,0.0,0.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,7.0,4.0,3.0,187.7833333,
2025-06-11,Finn,2,7.0,15.0,2.0,0.0,23.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,7.0,7.0,0.0,184.275,
2025-06-11,Finn,3,11.0,10.0,2.0,0.0,28.0,15.0,5.0,0.0,0.0,3.0,0.0,0.0,48.0,3.0,0.0,0.0,0.0,187.0857143,
2025-06-25,Finn,1,10.0,12.0,1.0,0.0,38.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,6.0,6.0,0.0,199.6777778,11.28615385
2025-06-25,Finn,2,6.0,17.0,4.0,0.0,28.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,41.0,4.0,37.0,189.2833333,11.36536232
2025-06-25,Finn,3,13.0,11.0,3.0,1.0,38.0,22.0,7.0,0.0,1.0,4.0,0.0,0.0,67.0,5.0,31.0,18.0,13.0,184.32,11.66114754
2025-04-23,Moxie,1,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,57.8,
2025-04-23,Moxie,2,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,0.0,65.25,
2025-04-23,Moxie,3,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,58.5,
2025-05-07,Moxie,1,6.0,3.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,9.0,6.0,78.8,
2025-05-07,Moxie,2,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,97.0666667,
2025-05-07,Moxie,3,11.0,4.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,27.0,18.0,9.0,69.45,
2025-05-21,Moxie,1,9.0,4.0,1.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,29.0,29.0,0.0,118.5166667,
2025-05-21,Moxie,2,5.0,5.0,1.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,142.6,
2025-05-21,Moxie,3,14.0,7.0,0.0,0.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,4.0,4.0,0.0,106.2727273,
2025-06-04,Moxie,1,13.0,6.0,1.0,0.0,22.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,8.0,8.0,0.0,117.54444444,
2025-06-04,Moxie,2,5.0,8.0,3.0,0.0,15.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,130.96,
2025-06-04,Moxie,3,15.0,9.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,124.2714286,
2025-06-18,Moxie,1,15.0,7.0,1.0,0.0,35.0,14.0,3.0,0.0,2.0,0.0,0.0,0.0,52.0,2.0,14.0,14.0,0.0,108.5071429,
2025-06-18,Moxie,2,5.0,11.0,4.0,0.0,18.0,26.0,7.0,0.0,2.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,0.0,163.06,
2025-06-18,Moxie,3,18.0,9.0,0.0,0.0,56.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,133.43125,
2025-07-02,Moxie,1,15.0,7.0,1.0,0.0,44.0,16.0,4.0,0.0,3.0,0.0,0.0,0.0,64.0,3.0,26.0,26.0,0.0,131.1307692,9.653125
2025-07-02,Moxie,2,5.0,12.0,4.0,0.0,21.0,31.0,9.0,0.0,3.0,1.0,0.0,0.0,61.0,4.0,13.0,4.0,9.0,180.82,9.198923077
2025-07-02,Moxie,3,19.0,9.0,0.0,0.0,67.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,6.0,6.0,0.0,149.4375,8.87
