date,cultivar,trait,mean_value,se_value,n_reps
2025-05-07,Brilliance,n_stolon_primary,7.0,0.0,3
2025-05-21,Brilliance,n_stolon_primary,9.0,0.0,3
2025-06-04,Brilliance,n_stolon_primary,10.0,0.0,3
2025-06-18,Brilliance,n_stolon_primary,11.666666666666666,0.6666666666666667,3
2025-07-02,Brilliance,n_stolon_primary,12.666666666666666,0.3333333333333333,3
2025-04-23,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-05-07,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-05-21,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-06-04,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-06-18,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-07-02,Brilliance,n_stolon_quaternary,0.0,0.0,3
2025-04-23,Brilliance,n_stolon_secondary,3.0,0.5773502691896258,3
2025-05-07,Brilliance,n_stolon_secondary,8.0,0.5773502691896258,3
2025-05-21,Brilliance,n_stolon_secondary,14.333333333333334,1.3333333333333335,3
2025-06-04,Brilliance,n_stolon_secondary,22.0,1.1547005383792517,3
2025-06-18,Brilliance,n_stolon_secondary,26.333333333333332,1.763834207376394,3
2025-07-02,Brilliance,n_stolon_secondary,28.666666666666668,1.763834207376394,3
2025-04-23,Brilliance,n_stolon_tertiary,0.0,0.0,3
2025-05-07,Brilliance,n_stolon_tertiary,0.3333333333333333,0.33333333333333337,3
2025-05-21,Brilliance,n_stolon_tertiary,4.0,1.0,3
2025-06-04,Brilliance,n_stolon_tertiary,6.666666666666667,0.33333333333333337,3
2025-06-18,Brilliance,n_stolon_tertiary,10.333333333333334,1.2018504251546633,3
2025-07-02,Brilliance,n_stolon_tertiary,12.333333333333334,1.2018504251546631,3
2025-04-23,Brilliance,stolon_length_primary_cm,115.75,0.4358898943540671,3
2025-05-07,Brilliance,stolon_length_primary_cm,105.46777777666667,4.265941924140926,3
2025-05-21,Brilliance,stolon_length_primary_cm,143.71904763333333,1.7364114592080246,3
2025-06-04,Brilliance,stolon_length_primary_cm,159.37037036666666,2.1684317886062527,3
2025-06-18,Brilliance,stolon_length_primary_cm,170.11878786666668,7.120945736810568,3
2025-07-02,Brilliance,stolon_length_primary_cm,198.90606060000002,4.649394923091858,3
2025-04-16,Cabrio,crown_diameter_mm,,,0
2025-04-30,Cabrio,crown_diameter_mm,,,0
2025-05-14,Cabrio,crown_diameter_mm,,,0
2025-05-28,Cabrio,crown_diameter_mm,,,0
2025-06-11,Cabrio,crown_diameter_mm,,,0
2025-06-25,Cabrio,crown_diameter_mm,10.593696269666667,0.994322009224305,3
2025-04-16,Cabrio,n_dp_alt_primary,2.0,0.0,3
2025-04-30,Cabrio,n_dp_alt_primary,5.666666666666667,0.8819171036881969,3
2025-05-14,Cabrio,n_dp_alt_primary,12.0,2.0816659994661326,3
2025-05-28,Cabrio,n_dp_alt_primary,21.333333333333332,3.48010216963685,3
2025-06-11,Cabrio,n_dp_alt_primary,33.666666666666664,5.04424865014052,3
2025-06-25,Cabrio,n_dp_alt_primary,50.0,8.544003745317532,3
2025-04-16,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-04-30,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-05-14,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-05-28,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-06-11,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-06-25,Cabrio,n_dp_alt_quaternary,0.0,0.0,3
2025-04-16,Cabrio,n_dp_alt_secondary,0.0,0.0,3
2025-04-30,Cabrio,n_dp_alt_secondary,0.6666666666666666,0.33333333333333337,3
2025-05-14,Cabrio,n_dp_alt_secondary,10.333333333333334,1.3333333333333335,3
2025-05-28,Cabrio,n_dp_alt_secondary,23.0,3.6055512754639896,3
2025-06-11,Cabrio,n_dp_alt_secondary,41.666666666666664,6.173419725817379,3
